id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10861,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19647281.0,19647281.0,False,,1,,,,2024-03-07T12:23:00.000Z,67011.42388326552,55031809444.21013,-46.5798,0.42542107,0.17046119,6.92335779,56.86554942,52.03485331,53.33112942,1316592275244.629,52.182,1407239901548.58,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:48.256996
1027,Ethereum,ETH,ethereum,8507,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120114025.48534974,120114025.48534974,True,,2,,,,2024-03-07T12:23:00.000Z,3794.0860104560693,26054619028.136345,-48.9671,0.22697745,-1.6893226,9.07698292,63.32734762,69.57477141,60.21560563,455722943753.52924,18.0681,455722943753.53,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:48.256996
825,Tether USDt,USDT,tether,77186,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100729057191.32367,103797122782.5545,True,,3,,,,2024-03-07T12:22:00.000Z,1.0004985191185432,106606659895.00282,-43.7195,-0.00915642,0.02207791,0.0330492,0.1580718,-0.00174549,0.04142507,100779272552.12637,3.9956,103848867632.71,,2024-03-07T12:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-07 09:24:48.256996
1839,BNB,BNB,bnb,2084,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149540879.14991823,149540879.14991823,False,,4,,,,2024-03-07T12:22:00.000Z,439.6668159720079,2684351522.2426558,-30.6428,0.87972329,3.45938665,7.43190177,45.52241729,43.54193364,87.36099243,65748162193.49937,2.6059,65748162193.5,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:48.256996
5426,Solana,SOL,solana,635,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,443013622.20514506,571205417.1939559,True,,5,,,,2024-03-07T12:23:00.000Z,141.2479355544916,6148601711.344897,-35.5993,0.08191093,8.40720844,10.01450593,50.24141829,49.61759439,92.48379942,62574759558.99422,2.4801,80681585956.19,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:48.256996
52,XRP,XRP,xrp,1242,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-07T12:23:00.000Z,0.6246389921120651,2691726303.8031626,-38.376,0.65439815,2.49306537,4.4945905,24.90990059,10.29207895,-4.31245529,34145285404.146236,1.3538,62463899211.21,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:48.256996
3408,USDC,USDC,usd-coin,17072,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,29136804958.577496,29136804958.577496,False,,7,,,,2024-03-07T12:23:00.000Z,1.0000051448910692,10846544470.288313,-41.5061,0.00413171,-0.00174232,0.01080455,0.00259831,0.00338499,-0.00503369,29136954864.26511,1.1548,29136954864.27,,2024-03-07T12:23:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-07 09:24:48.256996
2010,Cardano,ADA,cardano,1089,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35489235521.943,36685854736.851,False,,8,,,,2024-03-07T12:22:00.000Z,0.73865431031495,1013326578.8590999,-52.4099,0.74693137,1.63889242,6.90283736,50.27268381,41.89388757,43.52567772,26214276788.06563,1.0393,33239443964.17,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:48.256996
74,Dogecoin,DOGE,dogecoin,913,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143368196383.70526,143368196383.70526,True,,9,,,,2024-03-07T12:23:00.000Z,0.15327522540710944,3138152884.2191696,-60.9371,-0.20473657,-7.18913644,17.35992158,96.6841622,91.48352526,56.66024465,21974792616.923157,0.871,21974792616.92,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:48.256996
5994,Shiba Inu,SHIB,shiba-inu,756,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,10,,,,2024-03-07T12:22:00.000Z,3.1742741518043876e-05,4585729448.326346,-63.4958,0.71887339,-11.51285259,132.08923839,258.74512787,235.10443508,216.00005784,18705661446.74762,0.7416,18713428123.57,,2024-03-07T12:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-07 09:24:48.256996
